Cluster,RPT_DT,OFNS_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BOROUGH,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,ZIPCODE
0,10/19/2008,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE-HOUSE,11385
2,01/02/2012,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,11206
1,12/10/2007,FELONY ASSAULT,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE-HOUSE,11230
0,08/11/2010,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE-HOUSE,11213
0,11/27/2016,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,QUEENS,FRONT OF,RESIDENCE-HOUSE,11354
1,10/07/2011,DANGEROUS DRUGS,COMPLETED,FELONY,BROOKLYN,FRONT OF,RESIDENCE - PUBLIC HOUSING,11231
0,04/03/2020,HARRASSMENT 2,COMPLETED,VIOLATION,QUEENS,INSIDE,RESIDENCE-HOUSE,11356
1,01/28/2014,GRAND LARCENY,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10012
1,11/20/2012,MISCELLANEOUS PENAL LAW,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11215
2,11/10/2020,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10467
1,11/09/2006,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE-HOUSE,11228
0,05/28/2012,BURGLARY,COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE,10301
5,07/18/2010,PETIT LARCENY,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10010
4,05/12/2008,HARRASSMENT 2,COMPLETED,VIOLATION,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11214
5,11/30/2008,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10026
4,07/18/2015,HARRASSMENT 2,COMPLETED,VIOLATION,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11206
4,08/30/2010,HARRASSMENT 2,COMPLETED,VIOLATION,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE,10309
5,10/17/2013,DANGEROUS WEAPONS,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,10029
1,08/07/2014,THEFT-FRAUD,ATTEMPTED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10105
0,09/18/2017,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE-HOUSE,11208
3,10/24/2020,PETIT LARCENY,COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,RESIDENCE-HOUSE,11230
2,04/07/2013,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,MISDEMEANOR,BRONX,REAR OF,RESIDENCE - APT. HOUSE,10455
1,07/19/2017,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11212
2,06/26/2019,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,MISDEMEANOR,BRONX,REAR OF,RESIDENCE - PUBLIC HOUSING,10451
1,03/30/2008,BURGLARY,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,11368
5,03/23/2015,CRIMINAL TRESPASS,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10030
0,11/07/2017,GRAND LARCENY,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE-HOUSE,11361
5,07/01/2012,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10040
4,01/17/2018,HARRASSMENT 2,COMPLETED,VIOLATION,STATEN ISLAND,INSIDE,RESIDENCE - PUBLIC HOUSING,10304
2,01/07/2011,DANGEROUS DRUGS,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10453
2,04/15/2008,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,RESIDENCE - PUBLIC HOUSING,10030
0,01/01/2007,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,MISDEMEANOR,QUEENS,FRONT OF,RESIDENCE-HOUSE,11378
1,09/30/2016,THEFT-FRAUD,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11234
1,10/19/2007,DANGEROUS DRUGS,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11233
0,08/15/2008,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,MISDEMEANOR,QUEENS,REAR OF,RESIDENCE-HOUSE,11419
1,12/03/2019,ROBBERY,COMPLETED,FELONY,BROOKLYN,FRONT OF,RESIDENCE - APT. HOUSE,11210
2,02/25/2008,PETIT LARCENY,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10458
4,04/19/2020,HARRASSMENT 2,COMPLETED,VIOLATION,MANHATTAN,REAR OF,RESIDENCE - APT. HOUSE,10035
2,09/04/2013,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,11211
0,11/03/2019,SEX CRIMES,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,11354
3,10/19/2012,DANGEROUS DRUGS,COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,RESIDENCE - PUBLIC HOUSING,11233
1,01/05/2019,FELONY ASSAULT,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10453
0,01/25/2013,PETIT LARCENY,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,11691
5,01/23/2021,PETIT LARCENY,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10021
0,01/13/2012,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE,10314
1,08/09/2011,BURGLARY,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE-HOUSE,11213
0,03/15/2017,GRAND LARCENY,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE-HOUSE,11422
3,06/02/2021,PETIT LARCENY,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11207
2,04/24/2019,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,10038
2,02/09/2013,DANGEROUS WEAPONS,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - PUBLIC HOUSING,10460
5,11/26/2009,PETIT LARCENY,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10065
2,12/22/2013,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,10035
5,07/09/2010,PETIT LARCENY,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10003
1,07/02/2013,SEX CRIMES,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE-HOUSE,11223
1,11/24/2019,FELONY ASSAULT,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10452
4,09/10/2019,HARRASSMENT 2,COMPLETED,VIOLATION,BRONX,FRONT OF,RESIDENCE - APT. HOUSE,10455
2,07/17/2012,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - PUBLIC HOUSING,10473
0,03/26/2015,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE-HOUSE,11432
1,10/31/2021,FELONY ASSAULT,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11221
0,12/21/2019,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - PUBLIC HOUSING,10455
5,12/18/2006,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11224
2,09/14/2008,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BROOKLYN,REAR OF,RESIDENCE - PUBLIC HOUSING,11208
4,11/07/2013,HARRASSMENT 2,COMPLETED,VIOLATION,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,11415
1,05/30/2010,BURGLARY,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,11419
0,01/13/2018,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE-HOUSE,11429
4,08/19/2008,HARRASSMENT 2,COMPLETED,VIOLATION,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,10039
3,11/17/2021,PETIT LARCENY,COMPLETED,MISDEMEANOR,BROOKLYN,REAR OF,RESIDENCE-HOUSE,11214
5,01/09/2006,PETIT LARCENY,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10032
1,06/01/2009,BURGLARY,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10039
3,10/13/2012,DANGEROUS DRUGS,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,RESIDENCE - PUBLIC HOUSING,10002
2,04/13/2019,OFFENSES AGAINST PUBLIC ADMINI,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10453
2,12/22/2016,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10452
0,12/06/2007,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,11212
1,03/18/2014,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11226
2,09/13/2013,HARRASSMENT 2,COMPLETED,VIOLATION,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10456
0,11/22/2009,BURGLARY,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE-HOUSE,11418
4,07/15/2016,HARRASSMENT 2,COMPLETED,VIOLATION,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE,10306
1,01/01/2007,FELONY ASSAULT,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11209
1,10/21/2014,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11226
2,09/14/2008,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11208
3,08/24/2015,PETIT LARCENY,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,RESIDENCE - APT. HOUSE,10033
3,09/08/2009,PETIT LARCENY,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - PUBLIC HOUSING,11249
0,12/06/2021,HARRASSMENT 2,COMPLETED,VIOLATION,QUEENS,FRONT OF,RESIDENCE-HOUSE,11377
