Cluster,Unique Key,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,City,Borough
2,37424076,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11221,BROOKLYN,BROOKLYN
2,29008380,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11226,BROOKLYN,BROOKLYN
0,24904755,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10466,BRONX,BRONX
0,39239323,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11230,BROOKLYN,BROOKLYN
1,34685100,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11203,BROOKLYN,BROOKLYN
0,26977144,Department of Housing Preservation and Development,PLUMBING,BATHTUB,RESIDENTIAL BUILDING,10028,NEW YORK,MANHATTAN
0,26694354,Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,10002,NEW YORK,MANHATTAN
1,41891255,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11238,BROOKLYN,BROOKLYN
2,23836914,Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,RESIDENTIAL BUILDING,11207,BROOKLYN,BROOKLYN
0,31619491,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11414,HOWARD BEACH,QUEENS
2,28713362,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11221,BROOKLYN,BROOKLYN
3,35145030,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10462,BRONX,BRONX
1,26382508,Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11436,Jamaica,QUEENS
1,29872413,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10032,NEW YORK,MANHATTAN
2,40610491,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11226,BROOKLYN,BROOKLYN
0,37549445,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10009,NEW YORK,MANHATTAN
3,25020605,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10467,BRONX,BRONX
0,41775123,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10470,BRONX,BRONX
3,25080663,Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,10467,BRONX,BRONX
3,40698140,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10460,BRONX,BRONX
1,31431309,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,11691,Far Rockaway,QUEENS
3,35191812,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10457,BRONX,BRONX
1,34647022,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10013,NEW YORK,MANHATTAN
0,36604488,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11222,BROOKLYN,BROOKLYN
3,34422269,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR FRAME,RESIDENTIAL BUILDING,10452,BRONX,BRONX
1,23699137,Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,RESIDENTIAL BUILDING,11372,JACKSON HEIGHTS,QUEENS
2,35163626,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11226,BROOKLYN,BROOKLYN
1,32412547,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11101,Long Island City,QUEENS
0,35819662,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10453,BRONX,BRONX
0,40686028,Department of Housing Preservation and Development,ELECTRIC,WIRING,RESIDENTIAL BUILDING,10033,NEW YORK,MANHATTAN
3,41784325,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10456,BRONX,BRONX
2,26245511,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,RESIDENTIAL BUILDING,11216,BROOKLYN,BROOKLYN
3,25140148,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,CERAMIC-TILE,RESIDENTIAL BUILDING,10463,BRONX,BRONX
1,38023006,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10027,NEW YORK,MANHATTAN
1,35736604,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11355,Flushing,QUEENS
3,41624140,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10468,BRONX,BRONX
0,25845865,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11236,BROOKLYN,BROOKLYN
3,45098781,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10455,BRONX,BRONX
3,26018349,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,10472,BRONX,BRONX
2,24835799,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10460,BRONX,BRONX
0,30009649,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11426,BELLEROSE,QUEENS
3,36426757,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10456,BRONX,BRONX
0,23468153,Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10026,NEW YORK,MANHATTAN
1,27760141,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11214,BROOKLYN,BROOKLYN
2,25053698,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11234,BROOKLYN,BROOKLYN
3,24225712,Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-SUPPLY,RESIDENTIAL BUILDING,10469,BRONX,BRONX
2,35279142,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11210,BROOKLYN,BROOKLYN
1,35139000,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11428,Queens Village,QUEENS
3,31950033,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10452,BRONX,BRONX
0,41316815,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10461,BRONX,BRONX
0,30546538,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10032,NEW YORK,MANHATTAN
1,37893594,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10012,NEW YORK,MANHATTAN
0,32519123,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10025,NEW YORK,MANHATTAN
2,22983283,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10452,BRONX,BRONX
3,29738046,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10452,BRONX,BRONX
1,37427673,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11691,Far Rockaway,QUEENS
0,38491969,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10033,NEW YORK,MANHATTAN
2,42046057,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,11230,BROOKLYN,BROOKLYN
0,24907969,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11365,FRESH MEADOWS,QUEENS
2,24647626,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10025,NEW YORK,MANHATTAN
2,31778651,Department of Housing Preservation and Development,ELECTRIC,OUTLET/SWITCH,RESIDENTIAL BUILDING,11249,BROOKLYN,BROOKLYN
2,27068991,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11204,BROOKLYN,BROOKLYN
2,34559222,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11238,BROOKLYN,BROOKLYN
2,26147910,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10456,BRONX,BRONX
2,25389158,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,11230,BROOKLYN,BROOKLYN
3,34726009,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10459,BRONX,BRONX
1,29719802,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11423,Hollis,QUEENS
0,31057903,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10465,BRONX,BRONX
2,23479241,Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,11225,BROOKLYN,BROOKLYN
0,37663131,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11369,EAST ELMHURST,QUEENS
0,39164590,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11213,BROOKLYN,BROOKLYN
0,37456069,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11372,JACKSON HEIGHTS,QUEENS
3,41598286,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10468,BRONX,BRONX
0,26785910,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11355,FLUSHING,QUEENS
1,32331547,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11226,BROOKLYN,BROOKLYN
2,25352685,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10040,NEW YORK,MANHATTAN
1,37753234,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10029,NEW YORK,MANHATTAN
1,38760393,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11412,Saint Albans,QUEENS
1,38219794,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11419,South Richmond Hill,QUEENS
3,37549592,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10470,BRONX,BRONX
2,27523542,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10027,NEW YORK,MANHATTAN
2,30278967,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Residential Building,11204,BROOKLYN,BROOKLYN
3,37960038,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10467,BRONX,BRONX
0,39915614,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11225,BROOKLYN,BROOKLYN
1,40704286,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,11385,Ridgewood,QUEENS
3,42014346,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,10456,BRONX,BRONX
1,42195728,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11233,BROOKLYN,BROOKLYN
3,40118008,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10458,BRONX,BRONX
1,33616042,Department of Housing Preservation and Development,GENERAL,COOKING GAS,RESIDENTIAL BUILDING,11413,Springfield Gardens,QUEENS
3,39754585,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10452,BRONX,BRONX
0,29595229,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10040,NEW YORK,MANHATTAN
0,35518228,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11207,BROOKLYN,BROOKLYN
2,35862945,Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,RESIDENTIAL BUILDING,11208,BROOKLYN,BROOKLYN
1,42658151,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,11370,East Elmhurst,QUEENS
0,28208478,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10460,BRONX,BRONX
3,34973253,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10454,BRONX,BRONX
0,36351310,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10032,NEW YORK,MANHATTAN
3,38637131,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10468,BRONX,BRONX
2,25024552,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10025,NEW YORK,MANHATTAN
0,23871801,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10033,NEW YORK,MANHATTAN
1,38717140,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10033,NEW YORK,MANHATTAN
1,30413554,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11421,Woodhaven,QUEENS
2,25739189,Department of Housing Preservation and Development,PLUMBING,BATHTUB,RESIDENTIAL BUILDING,11212,BROOKLYN,BROOKLYN
2,38465287,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11213,BROOKLYN,BROOKLYN
2,39267919,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11236,BROOKLYN,BROOKLYN
0,25482608,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11373,ELMHURST,QUEENS
1,30091092,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11368,Corona,QUEENS
3,29321675,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10456,BRONX,BRONX
1,35314129,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11368,Corona,QUEENS
3,25321754,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,RESIDENTIAL BUILDING,10474,BRONX,BRONX
1,32391551,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11230,BROOKLYN,BROOKLYN
0,26100355,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10472,BRONX,BRONX
0,30524777,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10469,BRONX,BRONX
1,39812934,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,11355,Flushing,QUEENS
0,32241500,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10474,BRONX,BRONX
1,35210940,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10011,NEW YORK,MANHATTAN
0,27495290,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10458,BRONX,BRONX
1,27699363,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10040,NEW YORK,MANHATTAN
3,35582111,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10472,BRONX,BRONX
3,40955274,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10455,BRONX,BRONX
1,40110914,Department of Housing Preservation and Development,ELECTRIC,LIGHTING,RESIDENTIAL BUILDING,11420,South Ozone Park,QUEENS
3,27629176,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10475,BRONX,BRONX
3,41284820,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10468,BRONX,BRONX
3,30856287,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10453,BRONX,BRONX
3,24355482,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FLOOR,RESIDENTIAL BUILDING,10453,BRONX,BRONX
3,35851846,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10466,BRONX,BRONX
0,27698077,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10011,NEW YORK,MANHATTAN
3,29930363,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10456,BRONX,BRONX
3,32204539,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10456,BRONX,BRONX
1,29732764,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11226,BROOKLYN,BROOKLYN
0,22986626,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10023,NEW YORK,MANHATTAN
3,29849282,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10460,BRONX,BRONX
0,40165060,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11368,CORONA,QUEENS
0,35179802,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11223,BROOKLYN,BROOKLYN
0,30278812,Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,RESIDENTIAL BUILDING,10024,NEW YORK,MANHATTAN
2,33953755,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11226,BROOKLYN,BROOKLYN
3,41638544,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10452,BRONX,BRONX
0,41794125,Department of Health and Mental Hygiene,Smoking,Smoking Violation,Residential Building,10034,NEW YORK,MANHATTAN
3,24523386,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,RESIDENTIAL BUILDING,10452,BRONX,BRONX
3,34823865,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10468,BRONX,BRONX
0,34241264,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10463,BRONX,BRONX
0,39751405,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10451,BRONX,BRONX
3,23500701,Department of Housing Preservation and Development,PLUMBING,BATHTUB,RESIDENTIAL BUILDING,10457,BRONX,BRONX
0,42500478,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11103,ASTORIA,QUEENS
2,38660482,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11201,BROOKLYN,BROOKLYN
1,44036317,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11218,BROOKLYN,BROOKLYN
0,28406260,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11234,BROOKLYN,BROOKLYN
0,22883838,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,10035,NEW YORK,MANHATTAN
1,41512595,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11232,BROOKLYN,BROOKLYN
3,40621142,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10458,BRONX,BRONX
0,36669003,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10033,NEW YORK,MANHATTAN
3,24723748,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,CABINETS,RESIDENTIAL BUILDING,10469,BRONX,BRONX
1,35304454,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11218,BROOKLYN,BROOKLYN
3,41802110,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10453,BRONX,BRONX
1,35041024,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11249,BROOKLYN,BROOKLYN
3,31993884,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10461,BRONX,BRONX
0,24373902,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10012,NEW YORK,MANHATTAN
1,41007864,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10040,NEW YORK,MANHATTAN
2,33146774,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11208,BROOKLYN,BROOKLYN
1,43768699,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,11692,Arverne,QUEENS
2,34677483,Department of Sanitation,Graffiti,Graffiti,Residential,11207,BROOKLYN,BROOKLYN
1,29270792,Department of Sanitation,Graffiti,Graffiti,Residential,11378,Maspeth,QUEENS
0,23539232,Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,RESIDENTIAL BUILDING,10029,NEW YORK,MANHATTAN
2,23021415,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10457,BRONX,BRONX
3,23966773,Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,10453,BRONX,BRONX
2,22946527,Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,RESIDENTIAL BUILDING,11213,BROOKLYN,BROOKLYN
2,26796070,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11221,BROOKLYN,BROOKLYN
3,34594125,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10451,BRONX,BRONX
2,29368524,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,11207,BROOKLYN,BROOKLYN
0,31516272,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10002,NEW YORK,MANHATTAN
2,33104461,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,11234,BROOKLYN,BROOKLYN
0,24606843,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10012,NEW YORK,MANHATTAN
0,26399323,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10030,NEW YORK,MANHATTAN
2,26174031,Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-SUPPLY,RESIDENTIAL BUILDING,11213,BROOKLYN,BROOKLYN
0,29383448,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10472,BRONX,BRONX
2,34557814,Department of Housing Preservation and Development,GENERAL,BELL/BUZZER/INTERCOM,RESIDENTIAL BUILDING,11212,BROOKLYN,BROOKLYN
2,24687290,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11225,BROOKLYN,BROOKLYN
0,42647154,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10036,NEW YORK,MANHATTAN
0,39288024,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11225,BROOKLYN,BROOKLYN
1,37561329,Department of Health and Mental Hygiene,Non-Residential Heat,Inadequate or No Heat,Building (Non-Residential),11377,WOODSIDE,QUEENS
0,24737337,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10032,NEW YORK,MANHATTAN
0,29736348,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10026,NEW YORK,MANHATTAN
1,22834646,Department of Housing Preservation and Development,NONCONST,SMOKE-DETECTOR,RESIDENTIAL BUILDING,11355,FLUSHING,QUEENS
2,38135075,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,11210,BROOKLYN,BROOKLYN
2,24119763,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MOLD,RESIDENTIAL BUILDING,11208,BROOKLYN,BROOKLYN
3,38280560,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10472,BRONX,BRONX
2,37163306,Department of Housing Preservation and Development,GENERAL,CABINET,RESIDENTIAL BUILDING,11211,BROOKLYN,BROOKLYN
2,24596998,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10452,BRONX,BRONX
1,32460511,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10035,NEW YORK,MANHATTAN
0,37858175,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10009,NEW YORK,MANHATTAN
2,24870770,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10453,BRONX,BRONX
2,31518634,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11230,BROOKLYN,BROOKLYN
3,32373510,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10468,BRONX,BRONX
2,31016670,Department of Housing Preservation and Development,ELECTRIC,WIRING,RESIDENTIAL BUILDING,11233,BROOKLYN,BROOKLYN
2,34523460,Department of Housing Preservation and Development,ELECTRIC,NO LIGHTING,RESIDENTIAL BUILDING,11207,BROOKLYN,BROOKLYN
2,25191634,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11233,BROOKLYN,BROOKLYN
2,24512888,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10025,NEW YORK,MANHATTAN
3,35832591,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10458,BRONX,BRONX
3,33149322,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,10457,BRONX,BRONX
2,24244391,Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,11225,BROOKLYN,BROOKLYN
3,36886738,Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,10452,BRONX,BRONX
3,32091775,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10451,BRONX,BRONX
3,37626423,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10462,BRONX,BRONX
2,26827677,Department of Housing Preservation and Development,PLUMBING,WATER-SUPPLY,RESIDENTIAL BUILDING,11225,BROOKLYN,BROOKLYN
0,38395527,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10457,BRONX,BRONX
1,34405691,Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,11691,Far Rockaway,QUEENS
1,37957296,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11203,BROOKLYN,BROOKLYN
2,23018395,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11207,BROOKLYN,BROOKLYN
0,22588977,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FLOOR,RESIDENTIAL BUILDING,10033,NEW YORK,MANHATTAN
