Cluster,Unique Key,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,City,Borough
0,38829145,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11385,RIDGEWOOD,QUEENS
3,31149087,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10453,BRONX,BRONX
0,28070486,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11368,CORONA,QUEENS
0,22840263,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10472,BRONX,BRONX
3,30252745,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10452,BRONX,BRONX
3,38398609,Department of Housing Preservation and Development,SAFETY,SMOKE DETECTOR,RESIDENTIAL BUILDING,10453,BRONX,BRONX
2,28139521,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11207,BROOKLYN,BROOKLYN
0,33745733,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10024,NEW YORK,MANHATTAN
2,30099462,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR FRAME,RESIDENTIAL BUILDING,11226,BROOKLYN,BROOKLYN
2,27140424,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,11221,BROOKLYN,BROOKLYN
1,45103662,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10031,NEW YORK,MANHATTAN
2,27068112,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11229,BROOKLYN,BROOKLYN
0,37127692,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10035,NEW YORK,MANHATTAN
2,25990575,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,11221,BROOKLYN,BROOKLYN
2,24327579,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10458,BRONX,BRONX
2,41193878,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11206,BROOKLYN,BROOKLYN
1,35449488,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10012,NEW YORK,MANHATTAN
2,23520373,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,11213,BROOKLYN,BROOKLYN
2,24211098,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10031,NEW YORK,MANHATTAN
0,37330552,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,10032,NEW YORK,MANHATTAN
0,35231419,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11221,BROOKLYN,BROOKLYN
1,41829148,Department of Housing Preservation and Development,PLUMBING,RADIATOR,RESIDENTIAL BUILDING,11432,Jamaica,QUEENS
2,29615993,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11226,BROOKLYN,BROOKLYN
1,30095694,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11422,Rosedale,QUEENS
2,32629994,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11233,BROOKLYN,BROOKLYN
3,23861879,Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,10468,BRONX,BRONX
0,38384621,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11435,JAMAICA,QUEENS
1,24977669,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MOLD,RESIDENTIAL BUILDING,10304,STATEN ISLAND,STATEN ISLAND
0,33551014,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10031,NEW YORK,MANHATTAN
0,40609348,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10029,NEW YORK,MANHATTAN
2,36910330,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,11233,BROOKLYN,BROOKLYN
0,30072178,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11360,BAYSIDE,QUEENS
1,41235126,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10019,NEW YORK,MANHATTAN
1,30823673,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11413,Springfield Gardens,QUEENS
2,28298695,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11238,BROOKLYN,BROOKLYN
0,24772035,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11368,CORONA,QUEENS
2,32086731,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,11221,BROOKLYN,BROOKLYN
0,25754016,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10463,BRONX,BRONX
2,41603927,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11203,BROOKLYN,BROOKLYN
3,32137967,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10462,BRONX,BRONX
0,25252394,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10466,BRONX,BRONX
0,30696389,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11207,BROOKLYN,BROOKLYN
1,35034354,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11374,Rego Park,QUEENS
1,39145497,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11385,Ridgewood,QUEENS
1,37795929,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11373,Elmhurst,QUEENS
3,35382868,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10458,BRONX,BRONX
0,30504296,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11372,JACKSON HEIGHTS,QUEENS
1,25762152,Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,RESIDENTIAL BUILDING,11372,Jackson Heights,QUEENS
