RPT_DT,OFNS_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,zipcode
02/05/2006,HARRASSMENT 2,COMPLETED,VIOLATION,QUEENS,INSIDE,RESIDENCE - PUBLIC HOUSING,11694
07/15/2012,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE-HOUSE,11691
03/29/2011,CRIMINAL TRESPASS,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - PUBLIC HOUSING,10454
03/23/2016,BURGLARY,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,11385
09/17/2019,PETIT LARCENY,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,11103
01/28/2021,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11226
11/29/2012,PETIT LARCENY,COMPLETED,MISDEMEANOR,BRONX,FRONT OF,RESIDENCE-HOUSE,10453
10/14/2008,DANGEROUS DRUGS,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11212
05/15/2006,PETIT LARCENY,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11235
04/13/2007,GRAND LARCENY,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10009
10/27/2016,BURGLARY,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11215
11/19/2012,HARRASSMENT 2,COMPLETED,VIOLATION,STATEN ISLAND,INSIDE,RESIDENCE - PUBLIC HOUSING,10303
11/30/2017,DANGEROUS WEAPONS,COMPLETED,MISDEMEANOR,QUEENS,FRONT OF,RESIDENCE - APT. HOUSE,11691
06/18/2021,FELONY ASSAULT,COMPLETED,FELONY,BROOKLYN,FRONT OF,RESIDENCE - APT. HOUSE,11238
06/28/2014,HARRASSMENT 2,COMPLETED,VIOLATION,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,11368
09/09/2017,CRIMINAL TRESPASS,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11201
09/26/2018,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,10038
10/15/2020,HARRASSMENT 2,COMPLETED,VIOLATION,QUEENS,INSIDE,RESIDENCE-HOUSE,11370
06/20/2006,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE - PUBLIC HOUSING,11106
11/12/2018,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,11372
05/09/2007,HARRASSMENT 2,COMPLETED,VIOLATION,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10459
07/30/2010,OFFENSES AGAINST PUBLIC ADMINI,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE-HOUSE,11434
08/10/2007,DANGEROUS DRUGS,COMPLETED,FELONY,BROOKLYN,FRONT OF,RESIDENCE - APT. HOUSE,11221
05/23/2013,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,10009
03/09/2008,MISCELLANEOUS PENAL LAW,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE-HOUSE,11235
10/18/2013,FELONY ASSAULT,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10030
02/11/2011,PETIT LARCENY,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - PUBLIC HOUSING,10455
07/02/2021,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11216
03/21/2015,HARRASSMENT 2,COMPLETED,VIOLATION,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,11104
05/25/2008,FRAUDS,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE-HOUSE,11214
10/07/2010,BURGLARY,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE-HOUSE,11237
06/30/2015,PETIT LARCENY,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10024
12/14/2021,RAPE,ATTEMPTED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10451
09/19/2017,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10455
02/27/2006,HARRASSMENT 2,COMPLETED,VIOLATION,QUEENS,FRONT OF,RESIDENCE - PUBLIC HOUSING,11367
04/05/2014,HARRASSMENT 2,COMPLETED,VIOLATION,MANHATTAN,FRONT OF,RESIDENCE - APT. HOUSE,10031
05/01/2014,DANGEROUS DRUGS,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11213
10/26/2015,BURGLARY,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE-HOUSE,11221
04/17/2018,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,QUEENS,FRONT OF,RESIDENCE - APT. HOUSE,11103
04/06/2006,GRAND LARCENY,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11239
08/16/2013,GRAND LARCENY,COMPLETED,FELONY,BROOKLYN,FRONT OF,RESIDENCE - PUBLIC HOUSING,11217
04/29/2012,OFFENSES AGAINST PUBLIC ADMINI,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE,10309
09/14/2011,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE-HOUSE,10472
12/07/2008,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11216
05/03/2020,HARRASSMENT 2,COMPLETED,VIOLATION,BRONX,INSIDE,RESIDENCE - PUBLIC HOUSING,10451
02/20/2016,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,QUEENS,FRONT OF,RESIDENCE-HOUSE,11434
09/03/2015,THEFT-FRAUD,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10023
11/15/2007,ROBBERY,COMPLETED,FELONY,MANHATTAN,REAR OF,RESIDENCE - PUBLIC HOUSING,10002
10/01/2018,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11220
08/19/2020,PETIT LARCENY,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11213
02/01/2012,HARRASSMENT 2,COMPLETED,VIOLATION,BROOKLYN,REAR OF,RESIDENCE - PUBLIC HOUSING,11207
09/30/2021,BURGLARY,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11208
04/18/2013,MISCELLANEOUS PENAL LAW,COMPLETED,VIOLATION,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,10002
02/05/2010,PETIT LARCENY,ATTEMPTED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10029
05/02/2006,DANGEROUS DRUGS,COMPLETED,MISDEMEANOR,BRONX,FRONT OF,RESIDENCE - APT. HOUSE,10453
03/03/2021,PETIT LARCENY,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11223
12/11/2020,HARRASSMENT 2,COMPLETED,VIOLATION,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,11354
10/21/2018,HARRASSMENT 2,COMPLETED,VIOLATION,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,10039
09/28/2011,PETIT LARCENY,COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,RESIDENCE - APT. HOUSE,11207
03/02/2011,HARRASSMENT 2,COMPLETED,VIOLATION,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11220
05/19/2012,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10458
04/21/2010,HARRASSMENT 2,COMPLETED,VIOLATION,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10466
04/26/2014,PETIT LARCENY,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,11414
01/01/2016,MISCELLANEOUS PENAL LAW,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10452
07/04/2017,OFFENSES AGAINST PUBLIC ADMINI,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,11364
08/20/2018,HARRASSMENT 2,COMPLETED,VIOLATION,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,11418
11/28/2017,PETIT LARCENY,COMPLETED,MISDEMEANOR,STATEN ISLAND,FRONT OF,RESIDENCE-HOUSE,10304
08/11/2010,OFFENSES AGAINST PUBLIC ADMINI,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,RESIDENCE - PUBLIC HOUSING,10039
03/26/2008,THEFT-FRAUD,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE-HOUSE,11210
01/24/2020,FRAUDS,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11225
06/24/2009,FRAUDS,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,11102
07/27/2009,BURGLARY,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10022
06/20/2008,FRAUDS,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11207
08/05/2019,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,MISDEMEANOR,QUEENS,FRONT OF,RESIDENCE-HOUSE,11356
07/19/2019,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - PUBLIC HOUSING,10455
01/15/2013,HARRASSMENT 2,COMPLETED,VIOLATION,BROOKLYN,FRONT OF,RESIDENCE-HOUSE,11228
09/17/2007,SEX CRIMES,COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11213
07/20/2017,FORGERY,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10457
06/07/2020,BURGLARY,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE - PUBLIC HOUSING,10454
03/17/2007,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,STATEN ISLAND,INSIDE,RESIDENCE-HOUSE,10314
08/31/2010,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE-HOUSE,11412
11/17/2014,MISCELLANEOUS PENAL LAW,COMPLETED,FELONY,STATEN ISLAND,INSIDE,RESIDENCE - PUBLIC HOUSING,10301
08/03/2016,PETIT LARCENY,COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,RESIDENCE-HOUSE,11209
12/11/2017,HARRASSMENT 2,COMPLETED,VIOLATION,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10031
05/18/2020,SEX CRIMES,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10465
03/28/2010,DANGEROUS DRUGS,COMPLETED,MISDEMEANOR,MANHATTAN,OPPOSITE OF,RESIDENCE - PUBLIC HOUSING,10029
05/29/2021,PETIT LARCENY,COMPLETED,MISDEMEANOR,QUEENS,FRONT OF,RESIDENCE-HOUSE,11355
11/04/2013,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,11103
01/16/2012,BURGLARY,COMPLETED,FELONY,BRONX,INSIDE,RESIDENCE-HOUSE,10467
11/10/2009,ROBBERY,COMPLETED,FELONY,MANHATTAN,FRONT OF,RESIDENCE - PUBLIC HOUSING,10009
09/17/2011,FORGERY,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11204
02/05/2012,MISCELLANEOUS PENAL LAW,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11204
03/06/2013,GRAND LARCENY,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10032
12/29/2011,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE-HOUSE,11417
09/17/2011,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,RESIDENCE - PUBLIC HOUSING,10029
03/19/2011,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE - APT. HOUSE,11385
08/12/2010,BURGLARY,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE-HOUSE,11102
09/05/2007,CRIMINAL TRESPASS,COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,10002
09/22/2017,DANGEROUS DRUGS,COMPLETED,MISDEMEANOR,BRONX,FRONT OF,RESIDENCE - PUBLIC HOUSING,10454
06/05/2009,OFF. AGNST PUB ORD SENSBLTY &,COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10452
01/29/2015,HARRASSMENT 2,COMPLETED,VIOLATION,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11212
02/18/2008,ASSAULT 3 & RELATED OFFENSES,COMPLETED,MISDEMEANOR,QUEENS,INSIDE,RESIDENCE-HOUSE,11365
04/04/2012,HARRASSMENT 2,COMPLETED,VIOLATION,BRONX,INSIDE,RESIDENCE - PUBLIC HOUSING,10451
10/07/2014,BURGLARY,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10011
10/11/2015,CRIMINAL TRESPASS,COMPLETED,MISDEMEANOR,QUEENS,FRONT OF,RESIDENCE - APT. HOUSE,11692
07/03/2020,HARRASSMENT 2,COMPLETED,VIOLATION,BRONX,INSIDE,RESIDENCE - APT. HOUSE,10459
01/20/2014,MISCELLANEOUS PENAL LAW,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10025
09/29/2011,CRIMINAL MISCHIEF & RELATED OF,COMPLETED,MISDEMEANOR,BRONX,REAR OF,RESIDENCE - APT. HOUSE,10460
10/24/2012,BURGLARY,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,11225
05/24/2007,GRAND LARCENY,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,10010
